"code","SNP","Con","Lib Dem","Lab","mtime","turnout","majority","electorate","percentageTurnout","percentageChangeTurnout","swing","lastPercentageMajority","sittingParty","winningParty","PC","Brexit","Green","Ind","Soc Dem","BSJP","UKIP","Speaker","Alliance","DUP","UUP","Young","Yorkshire","Libertarian","Lib","CPA","AWP","Loony","NE Party","SDLP","SF","Gwlad","ND","Wycombe","LD","dec.constituency","dec.Con","dec.Lab","dec.LD","dec.Brexit","dec.Green","dec.SNP","dec.PC","dec.Other","nov.Con","nov.Lab","nov.LD","nov.Brexit","nov.Green","nov.SNP","nov.PC","nov.Other","conLead","predConLead"
"S14000004",49.15,40.35,5.75,4.75,"2019-12-13T01:55:00.000Z",43170,8.8,63952,67.5,4.55,10.57,6.58,"Con","SNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,"Angus",43,5,6,0,0,46,0,0,44,6,7,0,0,43,0,0,35.6,38
"S14000040",50.84,24.26,5.13,18.91,"2019-12-13T01:57:24.000Z",47631,26.58,74517,63.92,0.49,8.5,13.48,"SNP","SNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13,"Kilmarnock and Loudoun",28,17,6,0,0,47,0,2,28,16,7,0,0,46,0,2,5.35,11
"S14000056",44.2,14.97,5.19,34.47,"2019-12-13T01:27:33.000Z",53794,9.73,80918,66.48,2.97,7.17,0.52,"Lab","SNP",NA,NA,NA,NA,NA,NA,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19,"Rutherglen and Hamilton West",16,39,6,0,0,38,0,1,20,32,7,0,0,38,0,2,-19.5,-23
"W07000044",NA,45.33,4.32,38.97,"2019-12-13T01:52:29.000Z",33532,6.36,49734,67.42,-2.17,1.67,5.22,"Lab","Con",6.41,3.64,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32,"Wrexham",44,43,3,5,2,0,4,0,42,38,6,7,2,0,4,0,6.36,1
"W07000045",NA,29.96,NA,42.18,"2019-12-13T02:14:28.000Z",38233,12.22,60513,63.18,-4.7,-11.29,29.81,"Lab","Lab",18.43,9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Llanelli",29,48,0,9,0,0,14,0,27,43,0,14,0,0,16,0,-12.22,-19
"W07000057",NA,15.23,NA,35.61,"2019-12-13T01:59:44.000Z",29074,9.56,42215,68.87,0.68,4.34,0.33,"PC","PC",45.17,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arfon",18,31,0,4,0,0,47,0,17,29,0,6,0,0,48,0,-20.38,-13
"W07000060",NA,46.41,3.95,41.5,"2019-12-13T01:55:14.000Z",37213,4.91,56649,65.69,-2.31,2.35,6.15,"Lab","Con",4.17,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,"Vale Of Clwyd",44,44,4,4,0,0,4,0,43,41,6,6,0,0,3,0,4.91,0
"W07000062",NA,44.68,4.12,41.27,"2019-12-13T02:10:55.000Z",36306,3.41,53919,67.33,-1.63,5.6,11.62,"Lab","Con",5.89,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.12,"Clwyd South",42,44,4,6,0,0,5,0,43,41,6,6,0,0,4,0,3.41,-2
"W07000076",NA,27.88,NA,44.91,"2019-12-13T01:43:32.000Z",40117,17.03,63166,63.51,-0.63,-9.55,29.25,"Lab","Lab",16.01,11.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caerphilly",24,46,0,13,0,0,17,0,28,47,0,13,0,0,12,0,-17.03,-22
"W07000077",NA,28.8,3.82,44.7,"2019-12-13T02:06:12.000Z",34350,15.9,55423,61.98,-2.18,-14.14,31.62,"Lab","Lab",6.66,14.07,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,"Islwyn",25,48,4,14,2,0,7,0,27,44,5,14,2,0,6,0,-15.9,-23
"W07000078",NA,49.82,NA,43.32,"2019-12-13T02:05:41.000Z",54807,6.5,76508,71.64,-1,2.35,4.08,"Con","Con",NA,NA,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,"Vale Of Glamorgan",47,45,0,0,6,0,0,2,51,39,0,0,7,0,0,2,6.5,2
